address,name,category,owning_class,python_class,method,binding_kind,ancestors,join_key
0x005bd740,swig_TGColorA_a_get,swig,TGColorA,TGColorA,a,swig_field_accessor,NiColorA,swig_accessor
0x005bd7b0,swig_new_NiColorA,swig,NiColorA,NiColorA,new,swig_ctor,,swig_ctor_dtor
0x005bd860,swig_delete_NiColorA,swig,NiColorA,NiColorA,delete,swig_dtor,,swig_ctor_dtor
0x005bd8d0,swig_NiPoint2_x_set,swig,NiPoint2,NiPoint2,x,swig_field_accessor,,swig_accessor
0x005bd950,swig_NiPoint2_x_get,swig,NiPoint2,NiPoint2,x,swig_field_accessor,,swig_accessor
0x005bd9b0,swig_NiPoint2_y_set,swig,NiPoint2,NiPoint2,y,swig_field_accessor,,swig_accessor
0x005bda30,swig_NiPoint2_y_get,swig,NiPoint2,NiPoint2,y,swig_field_accessor,,swig_accessor
0x005bdaa0,swig_new_NiPoint2,swig,NiPoint2,NiPoint2,new,swig_ctor,,swig_ctor_dtor
0x005bdb10,swig_delete_NiPoint2,swig,NiPoint2,NiPoint2,delete,swig_dtor,,swig_ctor_dtor
0x005bdb80,swig_NiPoint2_Length,swig,NiPoint2,,Length,direct,,c_symbol
0x005bdc00,swig_NiPoint2_SqrLength,swig,NiPoint2,,SqrLength,direct,,c_symbol
0x005bdc80,swig_NiPoint2_Dot,swig,NiPoint2,,Dot,direct,,c_symbol
0x005bdd30,swig_NiPoint2_Unitize,swig,NiPoint2,,Unitize,direct,,c_symbol
0x005bddf0,swig_TGPoint3_x_set,swig,TGPoint3,TGPoint3,x,swig_field_accessor,NiPoint3,swig_accessor
0x005bde70,swig_TGPoint3_x_get,swig,TGPoint3,TGPoint3,x,swig_field_accessor,NiPoint3,swig_accessor
0x005bded0,swig_TGPoint3_y_set,swig,TGPoint3,TGPoint3,y,swig_field_accessor,NiPoint3,swig_accessor
0x005bdf50,swig_TGPoint3_y_get,swig,TGPoint3,TGPoint3,y,swig_field_accessor,NiPoint3,swig_accessor
0x005bdfc0,swig_TGPoint3_z_set,swig,TGPoint3,TGPoint3,z,swig_field_accessor,NiPoint3,swig_accessor
0x005be040,swig_TGPoint3_z_get,swig,TGPoint3,TGPoint3,z,swig_field_accessor,NiPoint3,swig_accessor
0x005be0b0,swig_new_NiPoint3,swig,NiPoint3,NiPoint3,new,swig_ctor,,swig_ctor_dtor
0x005be130,swig_delete_NiPoint3,swig,NiPoint3,NiPoint3,delete,swig_dtor,,swig_ctor_dtor
0x005be1a0,swig_NiPoint3_Length,swig,NiPoint3,,Length,direct,,c_symbol
0x005be220,swig_NiPoint3_SqrLength,swig,NiPoint3,,SqrLength,direct,,c_symbol
0x005be2a0,swig_NiPoint3_Dot,swig,NiPoint3,,Dot,direct,,c_symbol
0x005be350,swig_NiPoint3_Unitize,swig,NiPoint3,,Unitize,direct,,c_symbol
0x005be430,swig_NiPoint3_Cross,swig,,NiPoint3,Cross,python_wrapper,,python_class_method
0x005be520,swig_NiPoint3_UnitCross,swig,,NiPoint3,UnitCross,python_wrapper,,python_class_method
0x005be680,swig_NiPoint3_Perpendicular,swig,,NiPoint3,Perpendicular,python_wrapper,,python_class_method
0x005be910,swig_TGModelUtils_CastNodeToAVObject,swig,TGModelUtils,,CastNodeToAVObject,direct_unmatched,,class_prefix
0x005be980,swig_TGModelUtils_LocalToWorldPoint,swig,TGModelUtils,,LocalToWorldPoint,direct_unmatched,,class_prefix
0x005bea80,swig_TGModelUtils_WorldToLocalPoint,swig,TGModelUtils,,WorldToLocalPoint,direct_unmatched,,class_prefix
0x005beb90,swig_TGModelUtils_LocalToLocalPoint,swig,TGModelUtils,,LocalToLocalPoint,direct_unmatched,,class_prefix
0x005bed30,swig_TGModelUtils_LocalToWorldVector,swig,TGModelUtils,,LocalToWorldVector,direct_unmatched,,class_prefix
0x005bee10,swig_TGModelUtils_WorldToLocalVector,swig,TGModelUtils,,WorldToLocalVector,direct_unmatched,,class_prefix
0x005bef10,swig_TGModelUtils_LocalToLocalVector,swig,TGModelUtils,,LocalToLocalVector,direct_unmatched,,class_prefix
0x005bf070,swig_TGModelUtils_LocalToWorldUnitVector,swig,TGModelUtils,,LocalToWorldUnitVector,direct_unmatched,,class_prefix
0x005bf130,swig_TGModelUtils_WorldToLocalUnitVector,swig,TGModelUtils,,WorldToLocalUnitVector,direct_unmatched,,class_prefix
0x005bf200,swig_TGModelUtils_LocalToLocalUnitVector,swig,TGModelUtils,,LocalToLocalUnitVector,direct_unmatched,,class_prefix
0x005bf310,swig_TGSystemWrapperClass_GetTimeSinceFrameStart,swig,TGSystemWrapperClass,,GetTimeSinceFrameStart,direct,,c_symbol
0x005bf390,swig_TGSystemWrapperClass_GetTimeInSeconds,swig,TGSystemWrapperClass,,GetTimeInSeconds,direct,,c_symbol
0x005bf400,swig_TGSystemWrapperClass_GetTimeInMilliseconds,swig,TGSystemWrapperClass,,GetTimeInMilliseconds,direct,,c_symbol
0x005bf460,swig_TGSystemWrapperClass_GetTimeElapsedInSeconds,swig,TGSystemWrapperClass,,GetTimeElapsedInSeconds,direct,,c_symbol
0x005bf4d0,swig_TGSystemWrapperClass_GetTimeElapsedInMilliseconds,swig,TGSystemWrapperClass,,GetTimeElapsedInMilliseconds,direct,,c_symbol
0x005bf530,swig_TGSystemWrapperClass_GetUpdateNumber,swig,TGSystemWrapperClass,,GetUpdateNumber,direct,,c_symbol
0x005bf590,swig_TGSystemWrapperClass_GetVerticalAspectRatio,swig,TGSystemWrapperClass,,GetVerticalAspectRatio,direct,,c_symbol
0x005bf600,swig_TGSystemWrapperClass_IsForeground,swig,TGSystemWrapperClass,,IsForeground,direct,,c_symbol
0x005bf680,swig_TGSystemWrapperClass_GetRandomNumber,swig,TGSystemWrapperClass,,GetRandomNumber,direct,,c_symbol
0x005bf6f0,swig_TGSystemWrapperClass_SetRandomSeed,swig,TGSystemWrapperClass,,SetRandomSeed,direct,,c_symbol
0x005bf770,swig_TGSystemWrapperClass_GetIniInt,swig,TGSystemWrapperClass,,GetIniInt,direct,,c_symbol
0x005bf8e0,swig_TGSystemWrapperClass_GetIniFloat,swig,TGSystemWrapperClass,,GetIniFloat,direct,,c_symbol
0x005bfa50,swig_TGSystemWrapperClass_GetIniString,swig,TGSystemWrapperClass,,GetIniString,direct,,c_symbol
0x005bfc30,swig_TGSystemWrapperClass_TakeScreenshot,swig,TGSystemWrapperClass,,TakeScreenshot,direct,,c_symbol
0x005bfd00,swig_TGSystemWrapperClass_SetDefaultScreenShotPath,swig,TGSystemWrapperClass,,SetDefaultScreenShotPath,direct,,c_symbol
0x005bfdc0,swig_new_TGProfilingInfo,swig,TGProfilingInfo,TGProfilingInfo,new,swig_ctor,,swig_ctor_dtor
0x005bfe60,swig_delete_TGProfilingInfo,swig,TGProfilingInfo,TGProfilingInfo,delete,swig_dtor,,swig_ctor_dtor
0x005bfee0,swig_TGProfilingInfo_EnableProfiling,swig,TGProfilingInfo,,EnableProfiling,direct_unmatched,,class_prefix
0x005bff10,swig_TGProfilingInfo_DisableProfiling,swig,TGProfilingInfo,,DisableProfiling,direct_unmatched,,class_prefix
0x005bff40,swig_TGProfilingInfo_StartTiming,swig,TGProfilingInfo,,StartTiming,direct_unmatched,,class_prefix
0x005bffd0,swig_TGProfilingInfo_StopTiming,swig,TGProfilingInfo,,StopTiming,direct_unmatched,,class_prefix
0x005c0010,swig_TGProfilingInfo_SetTimingData,swig,TGProfilingInfo,,SetTimingData,direct_unmatched,,class_prefix
0x005c00a0,swig_TGProfilingInfo_SaveRawData,swig,TGProfilingInfo,,SaveRawData,direct_unmatched,,class_prefix
0x005c0130,swig_TGProfilingInfo_Terminate,swig,TGProfilingInfo,,Terminate,direct_unmatched,,class_prefix
0x005c0160,swig_TGConfigMapping_GetFloatValue,swig,TGConfigMapping,,GetFloatValue,direct,,c_symbol
0x005c0270,swig_TGConfigMapping_GetIntValue,swig,TGConfigMapping,,GetIntValue,direct,,c_symbol
0x005c0380,swig_TGConfigMapping_GetStringValue,swig,TGConfigMapping,,GetStringValue,direct,,c_symbol
0x005c04a0,swig_TGConfigMapping_GetTGStringValue,swig,,TGConfigMapping,GetTGStringValue,python_wrapper,,python_class_method
0x005c05b0,swig_TGConfigMapping_SetFloatValue,swig,TGConfigMapping,,SetFloatValue,direct,,c_symbol
0x005c06d0,swig_TGConfigMapping_SetIntValue,swig,TGConfigMapping,,SetIntValue,direct,,c_symbol
0x005c07f0,swig_TGConfigMapping_SetStringValue,swig,TGConfigMapping,,SetStringValue,direct,,c_symbol
0x005c0950,swig_TGConfigMapping_SetTGStringValue,swig,TGConfigMapping,,SetTGStringValue,direct,,c_symbol
0x005c0a90,swig_TGConfigMapping_HasValue,swig,TGConfigMapping,,HasValue,direct,,c_symbol
0x005c0bb0,swig_TGConfigMapping_LoadConfigFile,swig,TGConfigMapping,,LoadConfigFile,direct,,c_symbol
0x005c0c70,swig_TGConfigMapping_SaveConfigFile,swig,TGConfigMapping,,SaveConfigFile,direct,,c_symbol
0x005c0d30,swig_TGPoolManager_Purge,swig,TGPoolManager,,Purge,direct,,c_symbol
0x005c0da0,swig_TGPoolManager_PrintPoolSummary,swig,TGPoolManager,,PrintPoolSummary,direct,,c_symbol
0x005c0e10,swig_TGPoolManager_WalkObjects,swig,TGPoolManager,,WalkObjects,direct,,c_symbol
0x005c0ed0,swig_TGPoolManager_PrintFull,swig,TGPoolManager,,PrintFull,direct,,c_symbol
0x005c0f40,swig_TGPoolManager_PrintSummary,swig,TGPoolManager,,PrintSummary,direct,,c_symbol
0x005c0fb0,swig_TGPoolManager_DumpFile,swig,TGPoolManager,,DumpFile,direct,,c_symbol
0x005c1070,swig_TGPoolManager_DumpBlocks,swig,TGPoolManager,,DumpBlocks,direct,,c_symbol
0x005c1130,swig_TGPoolManager_DumpObjects,swig,TGPoolManager,,DumpObjects,direct,,c_symbol
0x005c11f0,swig_TGPoolManager_DisplayFile,swig,TGPoolManager,,DisplayFile,direct,,c_symbol
0x005c12c0,swig_TGObject_GetObjType,swig,TGObject,,GetObjType,direct,,c_symbol
0x005c1320,swig_TGObject_IsTypeOf,swig,TGObject,,IsTypeOf,direct,,c_symbol
0x005c13a0,swig_TGObject_GetObjID,swig,TGObject,,GetObjID,direct,,c_symbol
0x005c1400,swig_TGObject_Destroy,swig,TGObject,,Destroy,direct,,c_symbol
0x005c1470,swig_TGObject_Print,swig,TGObject,,Print,direct,,c_symbol
0x005c1500,swig_TGObject_GetIndentString,swig,TGObject,,GetIndentString,direct_unmatched,,class_prefix
0x005c1540,swig_TGObject_SetIncrementID,swig,TGObject,,SetIncrementID,direct_unmatched,,class_prefix
0x005c1580,swig_TGObject_IsIncrementID,swig,TGObject,,IsIncrementID,direct_unmatched,,class_prefix
0x005c15c0,swig_TGObject_GetTGObjectPtr,swig,TGObject,,GetTGObjectPtr,direct_unmatched,,class_prefix
0x005c1600,swig_TGAttrObject_LookupAttrValue,swig,TGAttrObject,,LookupAttrValue,direct,TGObject,c_symbol
0x005c16e0,swig_TGAttrObject_GetAttrValue,swig,TGAttrObject,,GetAttrValue,direct,TGObject,c_symbol
0x005c1780,swig_TGAttrObject_SetAttrValue,swig,TGAttrObject,,SetAttrValue,direct,TGObject,c_symbol
0x005c1840,swig_TGAttrObject_RemoveAttr,swig,TGAttrObject,,RemoveAttr,direct,TGObject,c_symbol
0x005c18f0,swig_TGAttrObject_LookupAttrInt,swig,TGAttrObject,,LookupAttrInt,direct,TGObject,c_symbol
0x005c19d0,swig_TGAttrObject_GetAttrInt,swig,TGAttrObject,,GetAttrInt,direct,TGObject,c_symbol
0x005c1a70,swig_TGAttrObject_SetAttrInt,swig,TGAttrObject,,SetAttrInt,direct,TGObject,c_symbol
0x005c1b30,swig_TGTemplatedAttrObject_LookupLocalAttrValue,swig,TGTemplatedAttrObject,,LookupLocalAttrValue,direct,TGAttrObject|TGObject,c_symbol
0x005c1c10,swig_new_TGString,swig,TGString,TGString,new,swig_ctor,,swig_ctor_dtor
0x005c1cc0,swig_delete_TGString,swig,TGString,TGString,delete,swig_dtor,,swig_ctor_dtor
0x005c1d40,swig_TGString_GetLength,swig,TGString,,GetLength,direct,,c_symbol
0x005c1da0,swig_TGString_SetString,swig,TGString,,SetString,direct,,c_symbol
0x005c1e60,swig_TGString_FindC,swig,TGString,,FindC,direct,,c_symbol
0x005c1f40,swig_TGString_Find,swig,TGString,,Find,direct,,c_symbol
0x005c2010,swig_TGString_CompareC,swig,TGString,,CompareC,direct,,c_symbol
0x005c20e0,swig_TGString_Compare,swig,TGString,,Compare,direct,,c_symbol
0x005c21a0,swig_TGString_Append,swig,,TGString,Append,python_wrapper,,python_class_method
0x005c22a0,swig_new_TGBufferStream,swig,TGBufferStream,TGBufferStream,new,swig_ctor,TGStream,swig_ctor_dtor
0x005c22f0,swig_delete_TGBufferStream,swig,TGBufferStream,TGBufferStream,delete,swig_dtor,TGStream,swig_ctor_dtor
0x005c2370,swig_TGBufferStream_Close,swig,TGBufferStream,,Close,direct,TGStream,c_symbol
0x005c23e0,swig_TGBufferStream_SetWriteMode,swig,TGBufferStream,,SetWriteMode,direct,TGStream,c_symbol
0x005c2460,swig_TGBufferStream_GetWriteMode,swig,TGBufferStream,,GetWriteMode,direct,TGStream,c_symbol
